,wins,losses,points_scored,points_conceded,matches_played,win_percentage,avg_points_scored,avg_points_conceded,point_difference
VEF Riga,28,4,2712,2262,32,87.5,84.8,70.7,450
BC Kalev/Cramo,27,5,2816,2413,32,84.4,88.0,75.4,403
Rigas Zelli,25,8,2772,2370,33,75.8,84.0,71.8,402
BK Ogre,19,12,2517,2394,31,61.3,81.2,77.2,123
Tartu Ulikool,18,13,2524,2518,31,58.1,81.4,81.2,6
Valmiera Glass Via,17,13,2470,2319,30,56.7,82.3,77.3,151
BK Liepaja,15,15,2502,2458,30,50.0,83.4,81.9,44
Rapla,14,14,2312,2288,28,50.0,82.6,81.7,24
Tal Tech,14,14,2259,2326,28,50.0,80.7,83.1,-67
Ventspils,15,16,2735,2637,31,48.4,88.2,85.1,98
Parnu,11,17,2273,2385,28,39.3,81.2,85.2,-112
Keila Coolbet,8,20,2149,2378,28,28.6,76.8,84.9,-229
Viimsi,5,23,2019,2407,28,17.9,72.1,86.0,-388
Keila KK,4,24,2068,2533,28,14.3,73.9,90.5,-465
Latvijas Universitate,3,25,1954,2394,28,10.7,69.8,85.5,-440
