,gender,age,ethnicity,party,conservative,discrimination
0,male,36,estonian,Keskerakond,1,0
1,female,50,estonian,SDE,0,0
2,male,67,estonian,Isamaa,1,0
3,male,58,estonian,Reform,0,0
4,male,62,estonian,Reform,1,0
5,female,55,estonian,SDE,0,0
6,male,57,estonian,E200,0,0
7,male,65,estonian,Isamaa,1,0
8,male,40,estonian,Keskerakond,1,1
9,female,48,estonian,Isamaa,1,0
10,male,38,estonian,Reform,0,0
11,male,79,estonian,EKRE,1,1
12,male,73,estonian,EKRE,1,1
13,male,26,estonian,EKRE,1,1
14,female,57,other,Keskerakond,1,1
15,male,71,estonian,EKRE,1,1
16,female,36,estonian,Keskerakond,1,1
17,female,51,estonian,EKRE,1,0
18,female,70,estonian,Isamaa,1,0
19,male,26,other,Keskerakond,0,0
20,female,57,estonian,Isamaa,1,0
21,male,42,estonian,EKRE,1,0
22,female,71,other,Keskerakond,0,1
23,female,76,estonian,EKRE,1,1
24,female,73,estonian,Isamaa,0,0
25,female,48,estonian,EKRE,1,1
26,female,66,estonian,Parempoolsed,0,0
27,female,65,other,Keskerakond,1,1
28,female,42,estonian,Keskerakond,1,0
29,female,64,estonian,Keskerakond,1,1
30,male,26,estonian,Isamaa,1,0
31,male,52,estonian,EKRE,1,1
32,female,39,estonian,SDE,0,0
33,female,33,estonian,Isamaa,1,1
34,female,30,estonian,Isamaa,1,0
35,male,57,estonian,Isamaa,1,0
36,female,43,estonian,EKRE,1,1
37,male,58,estonian,Parempoolsed,1,0
38,male,29,estonian,Isamaa,1,0
39,male,42,estonian,Reform,1,0
40,male,50,estonian,Isamaa,1,0
41,male,61,estonian,Parempoolsed,0,0
42,female,42,estonian,Isamaa,1,1
43,female,54,estonian,EKRE,1,1
44,female,67,other,Keskerakond,1,1
45,female,53,estonian,Keskerakond,1,1
46,female,39,estonian,EKRE,1,1
47,male,24,estonian,EKRE,1,1
48,female,66,estonian,EKRE,1,0
49,female,24,estonian,Isamaa,1,0
50,male,67,estonian,Isamaa,1,1
51,female,50,estonian,Reform,1,0
52,male,72,estonian,Isamaa,1,0
53,female,62,estonian,Isamaa,1,0
54,male,82,estonian,Reform,0,0
55,female,44,estonian,Parempoolsed,0,1
56,female,60,estonian,Reform,0,1
57,male,45,estonian,Isamaa,1,0
58,male,48,estonian,Isamaa,1,0
59,male,54,estonian,Parempoolsed,0,0
60,male,67,other,EKRE,1,0
61,male,78,estonian,Isamaa,0,1
62,male,60,estonian,Reform,0,0
63,male,46,estonian,Reform,0,0
64,male,46,estonian,Reform,0,0
65,female,59,estonian,Isamaa,1,0
66,female,39,estonian,Isamaa,1,0
67,male,32,estonian,Parempoolsed,0,0
68,female,44,estonian,Isamaa,0,0
69,female,41,estonian,Keskerakond,1,1
70,female,41,estonian,Keskerakond,1,0
71,female,39,estonian,Reform,0,0
72,male,27,estonian,EKRE,1,1
73,female,23,estonian,Isamaa,1,0
74,male,79,estonian,Reform,1,0
75,female,46,estonian,SDE,0,0
76,female,45,estonian,Parempoolsed,0,0
77,female,56,estonian,Isamaa,1,1
78,male,38,estonian,Isamaa,1,0
79,female,73,estonian,Parempoolsed,0,0
80,male,61,estonian,Keskerakond,1,1
81,female,31,estonian,SDE,0,0
82,male,46,estonian,Isamaa,1,0
83,female,67,estonian,Reform,0,0
84,male,73,other,Keskerakond,1,1
85,male,48,estonian,Keskerakond,1,1
86,female,53,estonian,EKRE,1,1
87,male,36,estonian,Isamaa,1,1
88,female,80,estonian,Reform,0,0
89,female,39,estonian,Isamaa,1,0
90,female,72,estonian,EKRE,1,1
91,female,55,estonian,Parempoolsed,0,0
92,female,53,estonian,EKRE,1,1
93,female,49,estonian,SDE,0,0
94,female,39,estonian,Isamaa,1,0
95,female,36,other,Keskerakond,1,0
96,female,38,estonian,Parempoolsed,1,0
97,female,37,estonian,Isamaa,1,0
98,female,61,estonian,Isamaa,1,1
99,male,44,other,EKRE,1,1
100,male,28,estonian,Isamaa,1,0
101,female,76,estonian,SDE,0,0
102,female,67,estonian,E200,0,0
103,female,71,estonian,EKRE,1,1
104,female,81,estonian,Isamaa,1,0
105,female,36,estonian,EKRE,1,1
106,female,45,estonian,Keskerakond,1,1
107,female,60,estonian,Isamaa,1,1
108,female,57,estonian,Reform,0,0
109,male,35,estonian,Reform,1,0
110,female,63,other,Keskerakond,0,0
111,male,38,estonian,Isamaa,1,0
112,female,38,other,Keskerakond,1,1
113,female,50,estonian,Isamaa,1,0
114,male,52,estonian,Isamaa,1,0
115,female,52,estonian,SDE,0,0
116,male,31,other,Keskerakond,1,1
117,female,67,estonian,Isamaa,1,1
118,female,40,estonian,Isamaa,1,1
119,male,33,estonian,Isamaa,1,1
120,female,68,estonian,Isamaa,1,1
121,male,74,estonian,Isamaa,0,0
122,female,66,estonian,Isamaa,1,0
123,male,62,estonian,EKRE,1,0
124,male,55,other,Keskerakond,0,1
125,female,51,estonian,Reform,0,1
126,female,31,estonian,Keskerakond,1,1
127,male,46,estonian,Isamaa,1,0
128,female,44,estonian,Parempoolsed,0,0
129,female,40,other,SDE,0,1
130,female,58,estonian,SDE,0,0
131,male,49,estonian,SDE,0,0
132,male,30,estonian,E200,0,0
133,male,38,estonian,Reform,0,0
134,male,56,estonian,Isamaa,0,1
135,male,30,estonian,Reform,0,0
136,male,65,other,Keskerakond,1,0
137,male,49,other,Keskerakond,1,1
138,male,48,estonian,Reform,0,0
139,male,52,estonian,Isamaa,0,0
140,female,63,other,EKRE,1,1
141,male,43,estonian,E200,0,0
142,female,56,estonian,Reform,0,1
143,female,51,estonian,Reform,0,0
144,female,40,other,Isamaa,1,0
145,male,67,estonian,EKRE,1,1
146,male,62,estonian,E200,0,0
147,male,55,estonian,Keskerakond,0,1
148,male,65,other,Keskerakond,1,1
149,female,66,estonian,EKRE,1,1
150,male,57,estonian,Reform,0,0
151,male,64,estonian,Isamaa,1,0
152,male,57,other,Keskerakond,0,1
153,male,56,other,EKRE,1,1
154,male,53,estonian,EKRE,1,1
155,female,59,other,Keskerakond,1,1
156,male,35,estonian,E200,0,1
157,female,67,estonian,Isamaa,1,0
158,male,66,estonian,SDE,0,0
159,female,25,estonian,Isamaa,1,0
160,male,63,estonian,EKRE,1,0
161,male,33,estonian,Isamaa,1,0
162,female,43,estonian,EKRE,1,0
163,female,59,estonian,Reform,0,0
164,female,35,estonian,Isamaa,1,1
165,male,63,estonian,EKRE,0,0
166,female,64,estonian,E200,0,1
167,male,49,estonian,Isamaa,1,0
168,male,21,estonian,Keskerakond,1,1
169,female,41,estonian,EKRE,1,1
170,female,53,other,Keskerakond,1,1
171,male,78,estonian,Isamaa,1,1
172,male,54,estonian,Isamaa,1,0
173,female,40,estonian,Isamaa,1,0
174,female,54,estonian,Isamaa,1,0
175,female,50,estonian,Isamaa,1,0
176,male,61,other,Keskerakond,0,1
177,male,32,estonian,SDE,0,0
178,male,60,estonian,SDE,0,0
179,male,50,other,Keskerakond,0,1
180,male,75,estonian,Isamaa,1,0
181,male,43,estonian,EKRE,1,1
182,female,54,estonian,EKRE,1,1
183,male,71,estonian,Isamaa,0,0
184,male,32,estonian,Reform,0,0
185,male,72,estonian,Reform,1,0
186,female,56,estonian,EKRE,1,1
187,male,29,estonian,EKRE,1,1
188,male,42,estonian,SDE,1,1
189,female,57,estonian,SDE,0,0
190,male,29,estonian,EKRE,1,0
191,male,52,estonian,E200,0,0
192,male,43,estonian,Parempoolsed,1,1
193,male,53,estonian,EKRE,1,0
194,male,27,estonian,EKRE,1,0
195,female,66,estonian,Reform,0,0
196,female,76,estonian,Parempoolsed,1,0
197,female,76,estonian,SDE,0,1
198,male,59,other,Isamaa,1,0
199,male,33,other,EKRE,1,1
200,male,60,estonian,Reform,0,1
201,female,24,estonian,Reform,1,0
202,male,24,estonian,Isamaa,1,0
203,male,43,estonian,SDE,0,0
204,female,48,other,Keskerakond,0,0
205,male,60,estonian,SDE,0,0
206,female,56,estonian,SDE,0,0
207,female,47,estonian,SDE,0,0
208,female,41,estonian,EKRE,1,0
209,male,82,estonian,Reform,0,0
210,male,46,estonian,Isamaa,0,1
211,male,47,estonian,Keskerakond,1,0
212,male,35,estonian,Isamaa,1,0
213,male,62,other,Keskerakond,1,1
214,male,57,estonian,Isamaa,1,0
215,male,38,estonian,Isamaa,1,0
216,female,30,estonian,Isamaa,1,0
217,male,56,estonian,Isamaa,1,1
218,female,55,other,Keskerakond,1,0
219,male,41,other,Keskerakond,1,1
220,male,73,other,Reform,0,0
221,male,35,estonian,Isamaa,1,0
222,female,46,estonian,Isamaa,1,0
223,female,73,estonian,Isamaa,1,0
224,female,46,estonian,Isamaa,1,1
225,female,54,other,SDE,0,1
226,male,45,estonian,Isamaa,1,0
227,female,41,estonian,EKRE,1,0
228,male,78,other,Isamaa,1,0
229,male,46,estonian,Isamaa,1,0
230,female,68,estonian,Reform,0,0
231,female,39,estonian,Reform,0,0
232,female,38,estonian,Isamaa,1,1
233,female,25,estonian,Isamaa,1,0
234,female,55,estonian,EKRE,1,1
235,female,44,estonian,Isamaa,1,0
236,female,66,estonian,Isamaa,1,0
237,female,48,estonian,Parempoolsed,0,0
238,male,76,estonian,Reform,0,0
239,female,36,estonian,Reform,0,0
240,female,66,estonian,EKRE,0,1
241,male,61,other,EKRE,1,1
242,female,60,estonian,Reform,0,0
243,male,65,other,Keskerakond,0,0
244,male,60,estonian,Keskerakond,1,1
245,female,54,estonian,Isamaa,1,1
246,male,33,estonian,EKRE,1,1
247,male,25,estonian,EKRE,1,1
248,male,70,estonian,SDE,0,0
249,male,53,estonian,Reform,0,0
250,female,62,estonian,Reform,0,0
251,male,48,estonian,Isamaa,0,0
252,female,33,estonian,Reform,0,0
253,male,33,estonian,Isamaa,1,0
254,male,56,estonian,EKRE,1,0
255,male,46,estonian,Isamaa,1,0
256,male,37,estonian,Keskerakond,1,1
257,female,49,estonian,Isamaa,1,0
258,female,29,estonian,EKRE,1,0
259,male,52,estonian,E200,0,0
260,male,40,estonian,Isamaa,1,0
261,female,62,estonian,Reform,1,0
262,male,42,estonian,EKRE,1,1
263,male,47,estonian,Isamaa,1,0
264,male,22,estonian,SDE,1,0
265,female,29,estonian,Isamaa,1,0
266,female,45,estonian,Reform,0,0
267,female,48,estonian,Reform,0,0
268,male,53,estonian,Reform,1,0
269,male,41,estonian,Keskerakond,1,1
270,female,57,estonian,Isamaa,1,0
271,female,66,other,Isamaa,1,0
272,female,61,other,Keskerakond,1,0
273,female,26,estonian,Reform,0,0
274,male,48,estonian,SDE,0,0
275,female,32,estonian,SDE,0,0
276,male,39,estonian,SDE,0,0
277,female,79,estonian,Reform,0,0
278,male,34,estonian,EKRE,1,1
279,female,49,estonian,SDE,0,0
280,female,53,estonian,EKRE,0,1
281,female,57,estonian,Isamaa,1,1
282,female,51,estonian,SDE,0,0
283,male,22,estonian,SDE,0,0
284,female,43,estonian,Reform,0,1
285,male,49,estonian,Isamaa,1,0
286,male,31,estonian,EKRE,0,1
287,male,44,estonian,SDE,0,0
288,male,26,estonian,E200,0,0
289,female,30,estonian,Isamaa,1,0
290,male,45,estonian,Isamaa,1,0
291,male,34,estonian,SDE,0,0
292,male,51,estonian,EKRE,1,1
293,female,56,estonian,Reform,0,0
294,female,62,estonian,Parempoolsed,1,1
295,female,37,other,Isamaa,1,1
296,female,36,estonian,Keskerakond,1,0
297,male,32,estonian,Isamaa,1,1
298,male,54,estonian,EKRE,1,0
299,female,57,estonian,SDE,0,0
300,male,25,estonian,EKRE,1,1
301,male,72,estonian,Parempoolsed,0,0
302,male,28,estonian,Reform,0,1
303,female,50,other,EKRE,1,1
304,female,57,estonian,Isamaa,1,0
305,male,66,other,EKRE,1,1
306,female,58,estonian,EKRE,1,1
307,female,62,estonian,Isamaa,1,0
308,female,43,estonian,EKRE,1,1
309,female,63,estonian,Reform,1,0
310,female,30,other,Keskerakond,1,1
311,male,68,estonian,Reform,0,0
312,female,51,estonian,Keskerakond,0,0
313,male,63,estonian,Isamaa,0,0
314,male,47,estonian,Isamaa,1,0
315,female,54,other,Keskerakond,1,1
316,male,50,estonian,EKRE,1,0
317,male,58,estonian,Isamaa,0,0
318,male,30,estonian,SDE,0,0
319,female,28,other,SDE,0,0
320,female,39,estonian,Reform,0,0
321,male,35,estonian,Isamaa,1,1
322,female,66,estonian,SDE,0,0
323,female,38,estonian,Reform,1,0
324,female,77,estonian,SDE,0,0
325,female,43,estonian,SDE,0,1
326,male,36,estonian,SDE,0,0
327,male,61,estonian,Reform,0,0
328,female,55,estonian,Isamaa,1,0
329,female,49,other,Keskerakond,1,0
330,male,51,estonian,Reform,0,0
331,male,58,other,Keskerakond,1,0
332,female,39,other,Isamaa,1,0
333,male,81,estonian,Isamaa,1,0
334,female,76,estonian,SDE,1,0
335,female,55,estonian,SDE,1,0
336,male,37,estonian,E200,0,0
337,male,56,estonian,Keskerakond,1,0
338,female,29,estonian,Reform,1,0
339,female,25,other,Keskerakond,1,1
340,male,40,other,SDE,0,0
341,female,48,estonian,Reform,1,0
342,male,66,estonian,Reform,0,1
343,female,58,estonian,Isamaa,1,1
344,male,59,estonian,EKRE,0,1
345,male,46,estonian,Keskerakond,1,0
346,male,43,estonian,Isamaa,1,1
347,female,44,estonian,Isamaa,1,1
348,female,79,estonian,EKRE,1,1
349,male,26,other,Isamaa,1,1
350,female,66,estonian,Isamaa,1,0
351,male,52,estonian,EKRE,0,1
352,male,47,estonian,E200,0,1
353,female,58,estonian,Reform,0,0
354,female,48,estonian,Isamaa,1,0
355,male,67,estonian,Isamaa,1,1
356,female,69,other,Keskerakond,1,0
357,female,46,other,EKRE,0,1
358,male,41,estonian,SDE,0,1
359,male,52,estonian,Reform,0,0
360,female,70,estonian,SDE,0,0
361,male,38,estonian,Isamaa,1,1
362,male,54,other,Keskerakond,1,1
363,female,54,estonian,Isamaa,1,0
364,male,58,estonian,E200,0,0
365,male,33,estonian,Reform,1,0
366,female,58,estonian,EKRE,1,1
367,female,69,estonian,Isamaa,1,1
368,male,36,estonian,Isamaa,1,1
369,male,39,other,Keskerakond,1,1
370,female,76,estonian,Isamaa,1,1
371,female,36,estonian,Reform,0,0
372,female,65,estonian,Isamaa,1,0
373,female,49,other,Keskerakond,1,0
374,male,39,estonian,SDE,0,0
375,female,66,estonian,SDE,0,0
376,female,47,estonian,SDE,0,0
377,male,49,estonian,Isamaa,1,0
378,female,44,estonian,Isamaa,1,1
379,male,52,estonian,Keskerakond,1,1
380,female,35,estonian,EKRE,1,1
381,female,45,estonian,EKRE,1,1
382,female,76,other,Isamaa,1,0
383,male,40,estonian,Isamaa,1,0
384,male,55,estonian,Isamaa,1,0
385,female,43,estonian,SDE,0,1
386,male,60,estonian,Isamaa,1,1
387,male,33,other,Reform,1,0
388,male,76,estonian,Isamaa,1,0
389,male,47,other,Keskerakond,0,1
390,male,39,estonian,EKRE,1,0
391,male,29,estonian,E200,0,1
392,female,36,estonian,SDE,0,0
393,female,50,estonian,EKRE,1,1
394,male,43,estonian,E200,0,0
395,female,64,estonian,Parempoolsed,0,0
396,female,46,estonian,SDE,0,0
397,female,39,estonian,SDE,0,0
398,female,53,estonian,Isamaa,1,0
399,male,57,estonian,Reform,1,0
400,female,36,estonian,Isamaa,1,0
401,female,36,estonian,Isamaa,0,0
402,male,26,estonian,Parempoolsed,1,0
403,male,59,estonian,EKRE,1,1
404,female,55,estonian,SDE,0,0
405,female,48,estonian,SDE,0,0
406,female,65,estonian,SDE,1,0
407,female,62,other,Parempoolsed,0,0
408,female,52,estonian,Isamaa,1,0
