,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
0,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Don't know,Disagree,Don't know,Trust completely,Rather trust,Rather trust,Reformierakond,Rather yes,A lot
1,65-74,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Agree,Disagree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,SDE,Not at all,Somewhat
2,18-24,Secondary education,Female,Estonian,Small town,Järva- ja Viljandimaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,A lot
3,35-44,Higher education,Male,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Rather not trust,Don't trust at all,Don't trust at all,Eesti 200,Rather not,Almost not at all
4,55-64,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,Keskerakond,Definitely,A lot
5,55-64,Higher education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,Isamaa,Rather yes,A lot
6,45-54,Higher education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Don't know,Strongly disagree,Don't know,Strongly agree,Disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Definitely,Somewhat
7,18-24,Secondary education,Female,Estonian,Rural,Lääne-Virumaa,True,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Don't trust at all,EKRE,Rather not,Almost not at all
8,55-64,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather yes,A lot
9,35-44,Higher education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Rather not trust,Rather not trust,Don't trust at all,Undecided,Rather not,Somewhat
10,65-74,Higher education,Male,Other,Urban,Ida-Virumaa,True,Don't know,Don't know,Strongly agree,Disagree,Don't know,Don't trust at all,Rather not trust,Rather not trust,Undecided,Rather not,Somewhat
11,55-64,Higher education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Strongly disagree,Agree,Don't know,Disagree,Agree,Don't trust at all,Rather trust,Rather trust,Isamaa,Rather yes,A lot
12,25-34,Higher education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather yes,A lot
13,75+,Higher education,Female,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Disagree,Disagree,Disagree,Agree,Agree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather yes,Somewhat
14,25-34,Higher education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
15,65-74,Higher education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Not at all,Somewhat
16,35-44,Higher education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Trust completely,Rather trust,Don't trust at all,Reformierakond,Definitely,Somewhat
17,35-44,Secondary education,Female,Estonian,Urban,Tartu linn,True,Strongly agree,Don't know,Don't know,Strongly agree,Strongly agree,Neither trust nor distrust,Rather trust,Rather not trust,SDE,Rather yes,Somewhat
18,45-54,Higher education,Male,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly disagree,Strongly agree,Strongly agree,Don't know,Disagree,Rather not trust,Rather trust,Rather trust,EKRE,Definitely,Somewhat
19,55-64,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Agree,Agree,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Not at all,Somewhat
20,65-74,Higher education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Agree,Agree,Strongly disagree,Don't know,Neither trust nor distrust,Neither trust nor distrust,Rather not trust,Undecided,Rather not,A little
21,35-44,Secondary education,Male,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Rather trust,Rather trust,Rather trust,Rohelised,Definitely,A lot
22,55-64,Higher education,Female,Estonian,Urban,Pärnumaa,True,Agree,Agree,Disagree,Agree,Disagree,Rather trust,Rather not trust,Rather trust,EKRE,Not at all,Somewhat
23,45-54,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Trust completely,Rather trust,Trust completely,Reformierakond,Rather not,A lot
24,45-54,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Not at all,Somewhat
25,45-54,Secondary education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Rohelised,Rather not,Somewhat
26,75+,Higher education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Agree,Disagree,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
27,35-44,Higher education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Trust completely,Rather trust,Rather trust,Reformierakond,Definitely,Somewhat
28,55-64,Higher education,Female,Estonian,Urban,Järva- ja Viljandimaa,True,Disagree,Disagree,Agree,Strongly disagree,Agree,Rather not trust,Don't trust at all,Rather trust,Reformierakond,Rather yes,A lot
29,45-54,Higher education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Disagree,Agree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,EKRE,Rather yes,Somewhat
30,55-64,Secondary education,Female,Estonian,Urban,Järva- ja Viljandimaa,True,Disagree,Disagree,Disagree,Agree,Strongly agree,Neither trust nor distrust,Neither trust nor distrust,Rather not trust,Isamaa,Not at all,Somewhat
31,45-54,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Disagree,Disagree,Disagree,Agree,Don't trust at all,Don't trust at all,Rather trust,Undecided,Rather not,A little
32,55-64,Secondary education,Male,Other,Urban,Ida-Virumaa,True,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,Somewhat
33,18-24,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Definitely,Somewhat
34,65-74,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Don't know,Don't know,Disagree,Don't know,Rather not trust,Neither trust nor distrust,Rather trust,Undecided,Rather not,Somewhat
35,25-34,Higher education,Female,Estonian,Urban,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather not,Somewhat
36,18-24,Secondary education,Female,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Neither trust nor distrust,EKRE,Rather not,A little
