,age_group,education,gender,nationality,electoral_district,unit,urban_rural,N
0,18-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,519
1,18-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,62
2,18-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,269
3,18-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,656
4,18-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,84
5,18-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,417
6,18-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,386
7,18-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,51
8,18-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,254
9,18-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,670
10,18-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,56
11,18-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,478
12,18-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,651
13,18-24,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,79
14,18-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,378
15,18-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,697
16,18-24,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,107
17,18-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,378
18,18-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,293
19,18-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,40
20,18-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,155
21,18-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,492
22,18-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,51
23,18-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,326
24,18-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,662
25,18-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,1265
26,18-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,787
27,18-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,56
28,18-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,85
29,18-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,87
