,gender,county,direction,party_preference,education,status,ethnicity,ur,age_group2,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
0,Female,Anenii Noi,Right direction,PSDE (Tudor Ulianovschi),Post-secondary vocational education,Worse,Moldovan,Rural,60+,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,No answer,I don't have much confidence,Some confidence,No answer,No answer,I have no confidence,A lot of confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,A lot of confidence
1,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Lower secondary education,Better,Moldovan,Urban,30-39,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence
2,Male,Hîncești,Wrong direction,Victorie (Ilan Sor),Post-secondary vocational education,Better,Moldovan,Urban,40-49,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,Some confidence,Some confidence,No answer,I have no confidence,No answer,I don't have much confidence
3,Female,Leova,Wrong direction,PN (Renato Usatii),Lower secondary education,Much worse,Moldovan,Rural,40-49,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
4,Female,Ștefan Vodă,Wrong direction,Victorie (Ilan Sor),Higher education,Much worse,Moldovan,Rural,20-29,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,No answer,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,No answer,Some confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,No answer
5,Female,Mun. Chișinău,Wrong direction,Undecided,Higher education,Worse,Moldovan,Urban,60+,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence
6,Male,Orhei,Right direction,Undecided,Secondary vocational education,Worse,Moldovan,Rural,60+,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence
7,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Post-secondary vocational education,Better,Moldovan,Urban,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,No answer,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
8,Female,Soroca,Wrong direction,PVM (Vasile Tarlev),Lower secondary education,Much worse,Russian,Urban,30-39,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,Some confidence
9,Male,Orhei,Wrong direction,Undecided,Higher education,About the same,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,Some confidence
