ur,gender,education,county,ethnicity,age_group,N
Rural,Female,Higher education,Anenii Noi,Bulgarian,20-24,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,25-29,2
Rural,Female,Higher education,Anenii Noi,Bulgarian,30-34,2
Rural,Female,Higher education,Anenii Noi,Bulgarian,35-39,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,40-44,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,45-49,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,50-54,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,55-59,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,65-69,2
Rural,Female,Higher education,Anenii Noi,Bulgarian,70+,1
Rural,Female,Higher education,Anenii Noi,Bulgarian,<15,3
Rural,Female,Higher education,Anenii Noi,Gagauz,25-29,1
Rural,Female,Higher education,Anenii Noi,Gagauz,30-34,1
Rural,Female,Higher education,Anenii Noi,Gagauz,35-39,1
Rural,Female,Higher education,Anenii Noi,Gagauz,<15,1
Rural,Female,Higher education,Anenii Noi,Moldovan,20-24,210
Rural,Female,Higher education,Anenii Noi,Moldovan,25-29,666
Rural,Female,Higher education,Anenii Noi,Moldovan,30-34,554
Rural,Female,Higher education,Anenii Noi,Moldovan,35-39,377
Rural,Female,Higher education,Anenii Noi,Moldovan,40-44,259
Rural,Female,Higher education,Anenii Noi,Moldovan,45-49,243
Rural,Female,Higher education,Anenii Noi,Moldovan,50-54,254
Rural,Female,Higher education,Anenii Noi,Moldovan,55-59,242
Rural,Female,Higher education,Anenii Noi,Moldovan,60-64,215
Rural,Female,Higher education,Anenii Noi,Moldovan,65-69,284
Rural,Female,Higher education,Anenii Noi,Moldovan,70+,302
Rural,Female,Higher education,Anenii Noi,Moldovan,<15,625
Rural,Female,Higher education,Anenii Noi,Other,25-29,2
Rural,Female,Higher education,Anenii Noi,Other,30-34,2
Rural,Female,Higher education,Anenii Noi,Other,35-39,2
Rural,Female,Higher education,Anenii Noi,Other,40-44,2
Rural,Female,Higher education,Anenii Noi,Other,45-49,2
Rural,Female,Higher education,Anenii Noi,Other,50-54,2
Rural,Female,Higher education,Anenii Noi,Other,55-59,2
