,gender,county,ur,party_preference,age_group2,education,ethnicity,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
0,Female,Mun. Chișinău,Urban,No party,50-59,Lower secondary education,Moldovan,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
1,Male,Mun. Chișinău,Urban,Undecided,20-29,Post-secondary vocational education,Ukrainian,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,Some confidence
2,Male,Mun. Chișinău,Urban,Undecided,40-49,Higher education,Other,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence
3,Male,Mun. Chișinău,Urban,PAS (Igor Grosu),40-49,Upper secondary education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence
4,Male,Mun. Chișinău,Urban,Undecided,20-29,Lower secondary education,Gagauz,Some confidence,Some confidence,Some confidence,I have no confidence,No answer,No answer,No answer,I don't have much confidence,No answer,No answer,No answer,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,No answer,Some confidence
5,Male,Mun. Chișinău,Urban,PAS (Igor Grosu),20-29,Upper secondary education,Moldovan,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
6,Female,Mun. Chișinău,Urban,PSRM (Igor Dodon),40-49,Secondary vocational education,Moldovan,I don't have much confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,I don't have much confidence,I have no confidence,No answer
7,Male,Mun. Chișinău,Urban,PAS (Igor Grosu),30-39,Higher education,Romanian,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence
8,Male,Mun. Chișinău,Urban,Undecided,20-29,Secondary vocational education,Other,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
9,Female,Mun. Chișinău,Urban,Victorie (Ilan Sor),50-59,Higher education,Other,I have no confidence,I don't have much confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
