year;county;domestic_background;gender;exam_score
2016;Võrumaa;Estonian;Female;16
2016;Tartumaa;Estonian;Female;32
2016;Harjumaa;Estonian;Male;36
2016;Lääne-Virumaa;Estonian;Male;32
2016;Viljandimaa;Estonian;Female;40
2016;Valgamaa;Estonian;Female;27
2016;Harjumaa;Estonian;Female;34
2016;Tartumaa;Estonian;Female;35
2016;Harjumaa;Estonian;Female;39
2016;Harjumaa;Estonian;Female;25
2016;Harjumaa;Estonian;Female;43
2016;Saaremaa;Estonian;Female;37
2016;Raplamaa;Estonian;Female;41
2016;Tartumaa;Estonian;Female;30
2016;Harjumaa;Russian;Female;43
2016;Tartumaa;Russian;Male;36
2016;Harjumaa;Estonian;Female;40
2016;Harjumaa;Russian;Male;19
2016;Harjumaa;Estonian;Female;37
2016;Harjumaa;Estonian;Male;41
2016;Tartumaa;Russian;Female;46
2016;Jõgevamaa;Estonian;Female;35
2016;Pärnumaa;Estonian;Male;35
2016;Harjumaa;Russian;Male;22
2016;Ida-Virumaa;Russian;Male;41
2016;Ida-Virumaa;Estonian;Female;42
2016;Tartumaa;Estonian;Female;37
2016;Harjumaa;Russian;Female;39
2016;Pärnumaa;Estonian;Male;43
2016;Läänemaa;Russian;Male;44
2016;Harjumaa;Russian;Male;35
2016;Tartumaa;Estonian;Female;39
2016;Viljandimaa;Estonian;Male;26
2016;Ida-Virumaa;Russian;Male;20
2016;Harjumaa;Estonian;Male;31
2016;Harjumaa;Russian;Female;40
2016;Jõgevamaa;Estonian;Female;47
2016;Pärnumaa;Estonian;Female;25
2016;Harjumaa;Russian;Female;35
2016;Tartumaa;Estonian;Female;26
2016;Tartumaa;Estonian;Female;32
2016;Jõgevamaa;Estonian;Female;48
2016;Harjumaa;Estonian;Female;40
2016;Ida-Virumaa;Estonian;Male;48
2016;Harjumaa;Estonian;Male;39
2016;Ida-Virumaa;Russian;Male;45
2016;Tartumaa;Estonian;Male;41
2016;Võrumaa;Estonian;Female;33
2016;Raplamaa;Estonian;Female;30
2016;Võrumaa;Estonian;Female;43
2016;Tartumaa;Estonian;Male;27
2016;Viljandimaa;Estonian;Female;25
2016;Tartumaa;Estonian;Female;38
2016;Harjumaa;Estonian;Male;25
2016;Lääne-Virumaa;Estonian;Male;44
2016;Ida-Virumaa;Estonian;Female;47
2016;Raplamaa;Estonian;Male;43
2016;Raplamaa;Estonian;Female;30
2016;Ida-Virumaa;Russian;Male;42
2016;Harjumaa;Estonian;Female;46
2016;Harjumaa;Estonian;Male;29
2016;Harjumaa;Estonian;Male;40
2016;Lääne-Virumaa;Estonian;Male;7
2016;Läänemaa;Estonian;Male;48
2016;Tartumaa;Estonian;Male;46
2016;Tartumaa;Estonian;Female;42
2016;Harjumaa;Estonian;Male;39
2016;Harjumaa;Estonian;Female;46
2016;Tartumaa;Estonian;Female;32
2016;Ida-Virumaa;Russian;Male;39
2016;Tartumaa;Estonian;Male;45
2016;Harjumaa;Estonian;Male;19
2016;Harjumaa;Estonian;Male;37
2016;Viljandimaa;Estonian;Female;36
2016;Harjumaa;Estonian;Female;22
2016;Lääne-Virumaa;Estonian;Male;46
2016;Pärnumaa;Estonian;Male;23
2016;Jõgevamaa;Estonian;Male;29
2016;Harjumaa;Estonian;Female;47
2016;Läänemaa;Estonian;Male;39
2016;Ida-Virumaa;Estonian;Male;38
2016;Harjumaa;Russian;Female;44
2016;Viljandimaa;Estonian;Female;39
2016;Harjumaa;Russian;Female;28
2016;Harjumaa;Estonian;Female;43
2016;Harjumaa;Russian;Male;45
2016;Harjumaa;Estonian;Female;38
2016;Harjumaa;Estonian;Male;19
2016;Ida-Virumaa;Russian;Male;27
2016;Tartumaa;Estonian;Female;46
2016;Harjumaa;Estonian;Male;37
2016;Raplamaa;Estonian;Male;48
2016;Ida-Virumaa;Russian;Male;40
2016;Ida-Virumaa;Russian;Female;41
2016;Tartumaa;Estonian;Female;43
2016;Tartumaa;Estonian;Female;45
2016;Järvamaa;Estonian;Female;33
2016;Tartumaa;Estonian;Female;43
2016;Raplamaa;Estonian;Female;33
2016;Harjumaa;Estonian;Female;18
2016;Harjumaa;Estonian;Male;37
2016;Harjumaa;Estonian;Male;32
2016;Lääne-Virumaa;Estonian;Male;26
2016;Tartumaa;Estonian;Female;19
2016;Järvamaa;Estonian;Female;40
2016;Valgamaa;Estonian;Male;22
2016;Pärnumaa;Estonian;Male;33
2016;Tartumaa;Russian;Male;46
