paper_id,journal,paper_topic,max_h-index,writing_quality,accepted
1,B,Gaussian Process,28,100,0
2,B,NLP,7,72,0
3,B,Neural Networks,17,72,0
4,A,NLP,29,81,0
5,A,NLP,19,86,1
6,A,Neural Networks,7,45,0
7,B,NLP,28,83,0
8,A,NLP,13,55,0
9,B,Neural Networks,8,82,1
10,A,Bayes,22,80,0
11,A,Neural Networks,9,62,0
12,B,Linear regression,53,100,1
13,A,Gaussian Process,13,86,0
14,B,NLP,91,100,0
15,B,Linear regression,22,78,0
16,B,Bayes,11,52,0
17,A,Bayes,22,100,0
18,B,NLP,37,76,0
19,A,Linear regression,22,44,0
20,A,Neural Networks,16,79,0
21,B,Neural Networks,53,100,0
22,A,Linear regression,15,73,1
23,A,Linear regression,11,66,0
24,B,Neural Networks,35,99,0
25,A,Neural Networks,15,68,1
26,A,Linear regression,36,100,0
27,A,Linear regression,22,92,1
28,A,NLP,26,90,0
29,A,Neural Networks,27,82,0
30,B,NLP,18,82,0
31,A,Bayes,19,73,0
32,B,Neural Networks,20,57,0
33,A,Neural Networks,31,100,0
34,B,Neural Networks,20,96,0
35,A,Linear regression,16,62,0
36,A,NLP,28,60,1
37,A,Bayes,7,57,0
38,B,Linear regression,5,59,0
39,A,Linear regression,24,67,0
40,B,NLP,19,61,0
41,B,Gaussian Process,10,84,1
42,A,Linear regression,31,61,0
43,B,Bayes,29,99,1
44,A,Linear regression,22,73,0
45,A,Neural Networks,11,60,0
46,B,Neural Networks,30,90,1
47,A,Linear regression,22,81,0
48,A,Neural Networks,25,79,0
49,B,Neural Networks,16,81,0
50,A,NLP,34,37,1
51,A,NLP,21,83,0
52,A,Neural Networks,14,63,1
53,B,Neural Networks,15,68,0
54,A,Linear regression,20,61,0
55,B,Bayes,21,100,0
56,A,Neural Networks,63,100,0
57,A,NLP,10,71,0
58,A,Neural Networks,19,61,1
59,A,Neural Networks,4,57,1
60,B,NLP,23,64,0
61,A,Linear regression,29,77,0
62,A,Linear regression,46,86,0
63,A,Bayes,28,83,0
64,B,Neural Networks,9,81,1
65,A,Bayes,40,91,0
66,B,Linear regression,23,62,1
67,B,Neural Networks,37,79,1
68,A,Bayes,32,78,1
69,B,Linear regression,14,42,0
70,B,Linear regression,26,58,0
71,A,NLP,11,77,1
72,A,Linear regression,17,61,0
73,B,Linear regression,40,93,0
74,B,Neural Networks,26,89,0
75,A,Linear regression,16,95,0
76,A,NLP,4,76,0
77,A,Bayes,18,74,0
78,A,Linear regression,14,63,0
79,A,Linear regression,27,64,0
80,A,Linear regression,28,69,0
81,B,Linear regression,11,63,1
82,B,Neural Networks,61,100,0
83,A,Bayes,25,81,0
84,A,Neural Networks,16,81,0
85,B,Linear regression,23,63,0
86,A,Linear regression,19,97,0
87,A,NLP,19,92,1
88,B,Neural Networks,30,62,0
89,A,Neural Networks,24,85,1
90,B,Neural Networks,24,80,0
91,A,Gaussian Process,50,100,0
92,B,Neural Networks,12,55,0
93,B,NLP,18,69,0
94,A,Bayes,12,73,1
